;timestamp;customer_no;location;next_location
0;2019-09-02 07:03:00;1;entrance;dairy
1;2019-09-02 07:03:00;1;dairy;checkout
3;2019-09-02 07:03:00;2;entrance;dairy
4;2019-09-02 07:03:00;2;dairy;checkout
6;2019-09-02 07:04:00;3;entrance;dairy
7;2019-09-02 07:04:00;3;dairy;checkout
9;2019-09-02 07:04:00;4;entrance;dairy
10;2019-09-02 07:04:00;4;dairy;checkout
12;2019-09-02 07:04:00;5;entrance;spices
13;2019-09-02 07:04:00;5;spices;checkout
15;2019-09-02 07:04:00;6;entrance;spices
16;2019-09-02 07:04:00;6;spices;dairy
17;2019-09-02 07:05:00;6;dairy;spices
18;2019-09-02 07:17:00;6;spices;drinks
19;2019-09-02 07:18:00;6;drinks;spices
20;2019-09-02 07:25:00;6;spices;dairy
21;2019-09-02 07:26:00;6;dairy;spices
22;2019-09-02 07:27:00;6;spices;checkout
24;2019-09-02 07:04:00;7;entrance;spices
25;2019-09-02 07:04:00;7;spices;drinks
26;2019-09-02 07:05:00;7;drinks;spices
27;2019-09-02 07:09:00;7;spices;fruit
28;2019-09-02 07:11:00;7;fruit;checkout
30;2019-09-02 07:04:00;8;entrance;fruit
31;2019-09-02 07:04:00;8;fruit;checkout
33;2019-09-02 07:06:00;9;entrance;dairy
34;2019-09-02 07:06:00;9;dairy;fruit
35;2019-09-02 07:12:00;9;fruit;checkout
37;2019-09-02 07:06:00;10;entrance;fruit
38;2019-09-02 07:06:00;10;fruit;checkout
40;2019-09-02 07:06:00;11;entrance;drinks
41;2019-09-02 07:06:00;11;drinks;checkout
43;2019-09-02 07:06:00;12;entrance;spices
44;2019-09-02 07:06:00;12;spices;drinks
45;2019-09-02 07:07:00;12;drinks;checkout
47;2019-09-02 07:06:00;13;entrance;dairy
48;2019-09-02 07:06:00;13;dairy;spices
49;2019-09-02 07:13:00;13;spices;dairy
50;2019-09-02 07:14:00;13;dairy;fruit
51;2019-09-02 07:15:00;13;fruit;checkout
53;2019-09-02 07:06:00;14;entrance;fruit
